,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
6558,Otu006562,127,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,33,Planctomycetes
6577,Otu006581,127,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,12,Planctomycetes
6581,Otu006585,127,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula,35,Planctomycetes
6689,Otu006693,123,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaeraceae_unclassified,16,Planctomycetes
6780,Otu006784,121,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,26,Planctomycetes
6829,Otu006833,119,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,19,Planctomycetes
6880,Otu006884,118,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,32,Planctomycetes
6932,Otu006936,117,Bacteria,Planctomycetes,vadinHA49,vadinHA49_unclassified,vadinHA49_unclassified,vadinHA49_unclassified,30,Planctomycetes
6972,Otu006976,116,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,30,Planctomycetes
7017,Otu007021,114,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,15,Planctomycetes
7036,Otu007040,114,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,34,Planctomycetes
7049,Otu007053,114,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,28,Planctomycetes
7051,Otu007055,114,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,32,Planctomycetes
7145,Otu007149,111,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,25,Planctomycetes
7169,Otu007173,111,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,13,Planctomycetes
7346,Otu007350,107,Bacteria,Planctomycetes,Phycisphaerae,S-70,S-70_unclassified,S-70_unclassified,16,Planctomycetes
7470,Otu007474,104,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,17,Planctomycetes
7664,Otu007668,101,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,16,Planctomycetes
